reviewText,overall,unixReviewTime,summary,clean_text,sentiment_score,sentiment_label
"Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will.",5.0,1372896000,Get Fast Load Times,class   speed rating seamless full hd videothe sandisk ultra uhsi card feature class   uhs speed class   u rat high video performance available record uninterrupted full hd videoflawless app performancethis card retrieve store datum almost instantly thank mbs read capability fast bus interface sandisk ultra microsdhc microsdxc uhsi card offer fast app loading smoother fluid app performancestorage capacitie gbthis card plenty room accommodate full hd video mp app memoryintensive mobile file available size gb store app music video wantandroid app easy file managementthe include sandisk memory zone app let easily view access backup digital file phone memory additional memory card cloud service one convenient place use app easily move file card number cloud storage servicesdurable designsandisk ultra uhsi memory card capture memory     degree fahrenheit shockproof waterproof xrayproof design mobile device may survive sandisk memory card,0.8891,positive
The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.,5.0,1398988800,Very good little Micro SD card,read write speed well samsung sd card previously would hesitate buy another one great micro sd card sandisk also clip plus mp player work well think become fan sandisk product,0.8176,positive
This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.,5.0,1389052800,works,work nl   video stuttering like gb   blah blah blah blah fill rest,-0.34,negative
Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.,5.0,1382832000,Works,work expect   high transfer speed   nice extra microsd adapter lie around since always seem misplace   mainly buy use nikon dslr since put card directly cm modded nook hd tablet field view image large screen,0.4215,positive
"Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.",5.0,1388275200,Good with Galaxy S3,work great samsung galaxy   format straight away full size   can not really tell speed difference one slow card replace   guess io phone can not take advantage,0.644,positive
SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.,5.0,1383609600,Never disappoints,sandisk never disappoint always sandisk product worth every penny nice product quality work great recommend product everyone,0.911,positive
"Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..",5.0,1396569600,Great,good price work flawless samsung normal sandisk quality go brand brand,0.7351,positive
San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.,5.0,1395532800,Perfect,san disk hard beat   pay brand get quality product   would purchase,-0.2023,negative
Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.,5.0,1390867200,It does the job.,instal blackberry q sqn format work fine plenty storage space picture video son park,0.2023,positive
"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...",5.0,1343260800,64 GB,receive card class   gb correct serialsdsdquagaa receive unopened sandisk packaging go use htc rezound hope work read work reformatte disk update review issue use rating remain unchanged,0.4404,positive
"Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha...",5.0,1353456000,Perfect and Fast in my S2!!,stick format setting work great already fill music pic video   get card format right problem   phone will not right get samsung haha,0.6597,positive
"I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!",5.0,1356652800,Great product!,purchase two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meet need,0.8591,positive
"As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?",5.0,1382659200,Works.,advertise spec match   long device use handle ie usb   crapple bs deliver advertise speed   ps speed read write know right,0.0,neutral
This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.,5.0,1381881600,Great Product!!!,item great   can not believe small   imagine gb size back whole building full computer could not pack much space   great item,0.8481,positive
"I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.",5.0,1365984000,Great Micro SD card,try get hold gb micro sd phone tablet   pretty fast compare gb card use   really see performance boost phone many app picture music document   phone boot fully stable   min appose   min   computer also write card much fast gb one use   phone tablet device support recommend purchase   also pay like half price use amazon oppose retail store price least double   see card go   area,0.9399,positive
"I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever",1.0,1375488000,Bought 2 :) Died,buy   sandisk   gb microsd   use galaxy note galaxy sfirst one   phone start say remove   recognize   diedi think luck   plug nd one   stay   month die suddenly   lose everythingnever buying sandisk   ever,-0.5574,negative
The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.,4.0,1347321600,Excellent product.,memory card excellent condition work describe dependable easy use excellent choice enthusiast require storage,0.9153,positive
I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.,5.0,1376784000,several sizes. zero issues.,get couple vary size problem complaint speed always end buy price low get,-0.7184,negative
I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.,5.0,1399680000,Great card,  gig memory note   run room much memory space available not know,0.0,neutral
Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.,5.0,1375142400,Works great!,buy surface pro month problem fast stable,-0.128,negative
I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.,5.0,1349568000,100% satisfied. Recommend to all.,would recommend card everyonedata transfer speed   excellent card galaxy   not need format card anything   satisfied,0.8402,positive
"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",1.0,1361232000,Stop working after 1 year,bougth micro sd card truble get kingston tell sandisk quality good phone read gb fast dta transfer speed pc amazing look additional storage phone music picture type file youprosvery good quality material constructionamazing speedupdate one year memory damage delete put new file format memory try format phone pc camera nothing like gb cd datum memory available read move delete buy memory use backup datum android device readable memory write datum hope sandisk make well product future total disagree buy samsung memory card expect well quality,0.8175,positive
"Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.",5.0,1376265600,crazy fast,use contout gps camera   not waste time buy brand waste buy good start,0.3468,positive
"This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there.",5.0,1404864000,This is a fantastic little drive,fantastic little drive gigabyte say work way discern use hold flac recording play excellent fiio x digital audio player real thing one fake evidently,0.765,positive
"I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device.",5.0,1344816000,Verry happy,happy micro sd   could tell difference response time bb curve well asus tablet   want something transfer file photo video music fast micro sd card say fast card price   trick device   professional photographer might want go ultra   micro sd everyday user work wonder device,0.7351,positive
"I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.",5.0,1394409600,SanDisk quality,purchase several little baby year always buy sandisk never one fail price great amount storage get,0.7876,positive
"Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...",1.0,1374278400,Beware... goes bad and takes your pics with it,order galaxy   last month break   accessible several different pcssay limited lifetime warranty   bs   one month eco zone   lose picture   crappy return policyin future buy kingston sandiskupdate   amazon customer service make good refund purchase price   still buy sandisk memory card however,-0.5574,negative
"more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars.",4.0,1357430400,Not bad,like mbs note   use sandisk app bit fast note ii still disappointment device quad core processor sure card device benefit doubt four star,0.25,positive
"not much to say other than plug and play, good quality and fits a lot of video ...good good good",5.0,1392595200,good,much say plug play good quality fit lot video good good good,0.9382,positive
"A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.",5.0,1396483200,"Fast, very fast",new camcorder require fast sd micro sandisk product always provide first class service extra cost well worth,0.4588,positive
"This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often.",5.0,1398729600,"Very small, huge capacity",tiny marvel claim   possible problem small may lose happen drop handle     gb capacity will not handle often,-0.5719,negative
It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.,5.0,1390089600,Works great,job price right come quickly happy purchase   would recommend would,0.7351,positive
"I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable.",2.0,1391126400,Worked for a few months,use month phone decide quit mount lose picture pet die shortly get replacement card send old one give chance recover content new one work fine fail   month inexcusable,-0.8074,negative
"A memory card either works or it doesn't. This was always going to be a one star or five star review - no middle ground.The adapter is a nice bonus too, though I don't think I have anything to use it with.",5.0,1374364800,"It works, what else is there?",memory card either work not always go one star five star review   middle groundthe adapter nice bonus though not think anything use,0.743,positive
"I purchased this card to use in my ContourROAM2 and it works great.  All I had to do was put the card in the camera, format it, and I was good to go.  It allows me to easily record hours of 720p/60fps video without running out of space or slowing down.",5.0,1358121600,Great MicroSDHC Card,purchase card use contourroam work great   put card camera format good go   allow easily record hour pfps video without run space slow,0.8834,positive
Upgraded from 32GB to 64GB card for my Galaxy Note phone.  Looks like it works fine and has full capacity.  Good product.,5.0,1356652800,Works fine in my Galaxy Note phone from AT&T,upgrade gb gb card galaxy note phone   looks like work fine full capacity   good product,0.7351,positive
"everything about it was great, except for the adapter.  It was to tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine.",4.0,1373414400,Great but...,everything great except adapter   tight use tool take back adapter cause chip fault guess also buy gb version adapter one fine,0.4939,positive
"Liked the first one I purchased so much, I bought a second one. Very, very fast read and write speeds at a good price, plus SanDisk has the best software and device compatibility.  Forget thumb drives - this is your most flexible, durable option.  Use direct in your tablet or smart phone and/or buy a decent usb card reader you can load this in and, voila, instant super-speedy, upgradeable thumb drive.  Works great in my tablet and in my newer card reader - and still kicks the butt of every thumb drive I know of even when used with my old plastic USB 2.0 card reader held together with scotch tape, lol.  Have purchased several microSD cards since they first came out, from 2GB to 32GB, and all still work fine - I cannot say the same re the thumb drives I purchased during that same time period.One point - beware of counterfeits.  Samsung is the number one brand so, unfortunately, they get counterfeited a LOT.  So check reviews and only buy from a reliable seller.  I suggest buying direct from Amazon (or Memory Mogul) - I have purchased from both with no issues.",5.0,1385164800,"Fast, reliable, compatible, buy it direct from Amazon or Memory Mogul to avoid counterfeits",like first one purchase much buy second one fast read write speed good price plus sandisk good software device compatibility   forget thumb drive   flexible durable option   use direct tablet smart phone andor buy decent usb card reader load voila instant superspeedy upgradeable thumb drive   work great tablet new card reader   still kick butt every thumb drive know even use old plastic usb   card reader hold together scotch tape lol   purchase several microsd card since first come gb gb still work fine   say thumb drive purchase time periodone point   beware counterfeit   samsung number one brand unfortunately get counterfeit lot   check review buy reliable seller   suggest buy direct amazon memory mogul   purchase issue,0.9538,positive
Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.,5.0,1394928000,Works as advertised with no problems whatsoever.,really can not say anything bad say super fast great storage size lot movie,0.8968,positive
"Used in my phone it's plenty fast and works just like it should. Unexpectedly comes with mini and full SD card size adapters, which is nice. &#34;Fool-proof&#34; packaging or whatever it was, that was laughable. Packaging was decent it just shouldn't have bragged about being impossible to mess up when I messed it up.",4.0,1383609600,Works just like it should in my phone,use phone plenty fast work like unexpectedly come mini full sd card size adapter nice foolproof packaging whatever laughable packaging decent not brag impossible mess mess,0.7724,positive
This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.,5.0,1389139200,just the standard micro sd,standard micro sd card would recommend anyone purchase dad use expand memory tablet ship fast slight bit cheap store believe,0.5859,positive
"I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!",5.0,1359244800,Awesome micro sd card for smartphone.,order new samsung galaxy note ii work awesome instal problem load music not even scratch surface capacity card not ever worry run outta room card highly recommend smartphone user,0.7649,positive
Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.,5.0,1377561600,Awesome!!!,great deal much fast file movementdefinitely worth purchase sandisk prove good product,0.836,positive
"You'll pay $10 more for these anywhere else. I was initially leery of buying another SD card on amazon. 4 years ago I did so, and the card was a fake (said it had 32 gigs when plugged into the computer, but you could only load about 11 onto it, and it would say &#34;full.&#34; Apparently there's a way to fool your computer into thinking there's more space than there is, and this is what the fake/counterfeit cards will do).Not so with this one. It's the real deal, genuine SanDisk, and contains as many GB as it says it does. I'm a very pleased customer.",5.0,1392163200,Great product at a great price.,pay   anywhere else initially leery buy another sd card amazon   year ago card fake say   gig plug computer could load   onto would say full apparently way fool computer think space fakecounterfeit card donot one real deal genuine sandisk contain many gb say pleased customer,-0.4215,negative
"Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.",5.0,1405209600,Works well with Samsung Galaxy S4,use samsung galaxy   almost year problem really expand memory capability easy enough install,0.4716,positive
"32gb of storage for my new Asus tablet, what's not to love? I can't imagine paying more for the model with the upgraded storage, especially since it's usually like $100 more. This thing was cheap and works great.",5.0,1385424000,Cheap and awesome.,gb storage new asus tablet love can not imagine pay model upgrade storage especially since usually like   thing cheap work great,0.9074,positive
"excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk",5.0,1386806400,"excellent quality, excellent speed",excellent quality excellent speed complaint easy use reliable red stripe front make easy find crowded desk,0.9001,positive
"This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.",3.0,1378684800,only capable of doing DDR50/SDR50 max,card advertise uhs actually uhsthis mean go sdr speedsthroughputnot necessary bad false advertising,-0.5423,negative
"Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over.",5.0,1391817600,HP tablet use,purchase hp tablet memory music download picture video   enough room store memory leave,-0.0516,negative
"Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,",5.0,1388707200,love it,anything wrong sandisk product   item read sooooo quickly quite happy,0.2247,positive
A lot of people want big memory which is fine. But you need to look at speed class. This one is class 10. Which is great when your taking pictures or video. It will not freeze because it can move the MB/s fast enough. Lesser speed cards will freeze or will say waiting for camera and you will miss the moment. Its also a Sandisk which is a name you can trust when it come to memory cards.,5.0,1356048000,Great memory card!,lot people want big memory fine need look speed class one class   great take picture video freeze move mbs fast enough less speed card freeze say wait camera miss moment also sandisk name trust come memory card,0.8417,positive
"fast transfer rates, I downloaded about 2GB of videos form the card to my laptop through a card reader, all in about a minute",5.0,1373155200,fast transfer rates,fast transfer rate download gb video form card laptop card reader minute,0.0,neutral
"There is something to be said about SanDisk. You plug it in and it just works. I've never had one be DOA or any memory issues throughout the years, both for my camera and storage products. I installed this in my Galaxy SIII and it recognized it right away and I was able to dump my music onto it. Speed seems great as well, no complaints.",5.0,1353888000,"It works, like all SanDisk memory products",something say sandisk plug work never one doa memory issue throughout year camera storage product instal galaxy siii recognize right away able dump music onto speed seem great well complaint,0.6251,positive
"How do I praise extra memory? It fills my MP3 player with every song my heart desires, the sound quality is perfect. The ease of use is superb. It's great.",5.0,1376956800,"Good price, great product",praise extra memory fill mp player every song heart desire sound quality perfect ease use superb great,0.9774,positive
"All though it states 16gig it only has 14.8gig available but I know that happens and expected it, keep this in mind if your wanting more storage you might want to order the 32gig card.  It was exactly what i expected and needed so no complaints.",5.0,1354752000,Just as described,though state gig gig available know happen expect keep mind want storage might want order gig card   exactly expect need complaint,-0.1531,negative
"does the job as advertised.if you need extra memory on your phone/tablet or whatever device, this is bext buy(price/quality)",5.0,1391990400,does the job.,job advertisedif need extra memory phonetablet whatever device bext buypricequality,0.0,neutral
Needed for my cell phone - works perfectly.  SanDisk has never been a disappointment in the 30 plus years I've been in IT/computer work.,5.0,1387152000,SanDisk,need cell phone   work perfectly   sandisk never disappointment   plus year itcomputer work,0.7847,positive
"Priced right, this memory card also reads and writes fast. It's a noticeable difference over cheaper cards. I put it in my phone and plan to buy another one for my tablet.",5.0,1381449600,Good deal!,price right memory card also read write fast noticeable difference cheap card put phone plan buy another one tablet,0.0,neutral
"works great on my sprint htc evo 4g lte.  Formatted w/ fat32 so of course the maximum file size is 4gb meaning no full length hidef movies.  However, this isn't a problem;  I bought the card for putting a music library on my phone.Like all class 10 micro-sdhc cards, it does NOT do 10MB/s, but it's closer than any other class 10 card I've ever tried.  Most do 3-4MB/s.  Kingston 32GB did 7MB/s.  This card does about 8-9MB/s.Can't wait till 128GB and 256GB cards become available and affordable.",5.0,1350259200,works great with htc evo 4g lte,work great sprint htc evo g lte   format w fat course maximum file size gb mean full length hidef movie   however not problem   buy card put music library phonelike class   microsdhc card mbs close class   card ever try   mbs   kingston gb mbs   card mbscant wait till gb gb card become available affordable,0.7475,positive
